,productName,productLink,productPrice,productInfo
0,HP,https://www.trendyol.com//hp/250-g8-core-i5-1135g7-islemci-8gb-ram-256gb-ssd-15-6-fhd-freedos-laptop-komur-grisi-853u8es-p-773440890,10.999 TL,"250 G8/Core I5-1135G7 İşlemci/ 8GB Ram/ 256GB SSD/ 15.6""/ FHD/ Freedos/ Laptop Kömür Grisi 853U8ES"
1,Casper,https://www.trendyol.com//casper/nirvana-x600-139h-df00x-g-f-intel-core-i7-11390h-32-gb-ram-1tb-nvme-ssd-gen4-freedos-p-773800427,12.599 TL, Nirvana X600.139H-DF00X-G-F Intel Core i7-11390H 32 GB RAM 1TB NVME SSD GEN4 Freedos
2,Dell,https://www.trendyol.com//dell/vostro-3520-i5-1135g7-8-gb-256-gb-ssd-15-6-fhd-freedos-n2062pvnb3520u-p-758754023,33.999 TL,"Vostro 3520 I5-1135G7 8 GB 256 GB SSD 15.6"" Fhd FreeDos N2062PVNB3520U"
3,Casper,https://www.trendyol.com//casper/excalibur-g870-1245-bva0x-b-intel-core-i5-12450h-16gb-ram-500-gb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672154325?advertItems=eyJhZHZlcnRJZCI6IjhiMWZlYTYwLWMyMGUtNDk3Ny1hZTg3LWJkNDgzNGNkMTllNiIsInNvcnRpbmdTY29yZSI6MC4wNjU0MjQ4MzQzNDA4MTA3OCwiYWRTY29yZSI6MC4wMzkxMjk2ODU2MTA1MzI3NiwiYWRTY29yZXMiOnsiMSI6MC4wMzkxMjk2ODU2MTA1MzI3NiwiMiI6MC4wMzkxMjk2ODU2MTA1MzI3Nn0sImNwYyI6MS42NzIwMDAwMDAwMDAwMDAyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNTM3MzMwNjcwNTE1MjAzNywiYWR2ZXJ0U2xvdCI6MSwib3JkZXIiOjMsImF0dHJpYnV0ZXMiOiIifQ==,16.299 TL,Excalibur G870.1265-DFA0X-B Intel Core i7-12650H 32GB RAM 1TB NVME SSD GEN4 6GB RTX4050 Freedos
4,Casper,https://www.trendyol.com//casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-p-358003688,6.999 TL,"Nirvana C370.4020-4C00B Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" HD"
5,Monster,https://www.trendyol.com//monster/abra-a5-v20-4-2-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273243,35.499 TL,"Abra A5 V20.4.2 Intel Core i5 12450H 32 GB RAM 1 TB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz"
6,Apple,https://www.trendyol.com//apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-p-68042136,29.999 TL,"Macbook Air M1 Çip 8gb 256gb Ssd Macos 13"" Qhd Taşınabilir Bilgisayar Uzay Grisi"
7,Casper,https://www.trendyol.com//casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475?advertItems=eyJhZHZlcnRJZCI6IjljOWNmM2U0LTRjZjQtNGY4ZS04YTRlLTkyZjg2NzQ1MmRkZCIsInNvcnRpbmdTY29yZSI6MC4wNTkzNzI2NzYxMzQxMDk1LCJhZFNjb3JlIjowLjAzNTUwOTk3Mzc2NDQxOTU1NiwiYWRTY29yZXMiOnsiMSI6MC4wMzU1MDk5NzM3NjQ0MTk1NTYsIjIiOjAuMDM1NTA5OTczNzY0NDE5NTU2fSwiY3BjIjoxLjY3MjAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MS42MjM0NzEzOTE1MDQ4NTEsImFkdmVydFNsb3QiOjIsIm9yZGVyIjo3LCJhdHRyaWJ1dGVzIjoiIn0=,26.999 TL,"Abra A5 V20.3.2 Intel Core I7 13700h 32 Gb Ram 1 Tb Ssd 6 Gb Rtx 4050 Freedos 15,6"" Fhd 144 Hz"
8,LENOVO,https://www.trendyol.com//lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765,37.999 TL,"Ideapad AMD Ryzen 7 5700U 16GB 512GB SSD Freedos 15.6"" 82R4006FTRA38"
9,ACER,https://www.trendyol.com//acer/aspire-3-a315-510p-38x0-15-6-fhd-intel-i3-n305-8-gb-ddr5-ram-256-gb-ssd-freedos-nx-kdhey-003-p-734373841,15.499 TL,Aspire 3 A315-510P-38X0 15.6” FHD İntel İ3-N305 8 GB DDR5 RAM 256 GB SSD Freedos NX.KDHEY.003
10,Casper,https://www.trendyol.com//casper/nirvana-x600-5700-bf00x-g-f-amd-ryzen-7-5700u-16gb-1tb-nvme-ssd-15-6-dos-gri-dizustu-bilgisayar-p-780124063,8.779 TL,"Nirvana X600.5700-BF00X-G-F AMD Ryzen 7-5700U 16GB 1TB NVME SSD 15.6"" DOS Gri Dizüstü Bilgisayar"
